Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Diarrhoeal diseases,<-3 sd,Both,Both,,"2.332
(2.075 to 2.806)","2.332
(2.075 to 2.806)","2.332
(2.075 to 2.806)","2.332
(2.075 to 2.806)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-3 to -2 sd,Both,Both,,"1.230
(1.162 to 1.314)","1.230
(1.162 to 1.314)","1.230
(1.162 to 1.314)","1.230
(1.162 to 1.314)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-2 to -1 sd,Both,Both,,"1.088
(1.046 to 1.134)","1.088
(1.046 to 1.134)","1.088
(1.046 to 1.134)","1.088
(1.046 to 1.134)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Lower respiratory infections,<-3 sd,Both,Both,,"2.593
(1.907 to 4.400)","2.593
(1.907 to 4.400)","2.593
(1.907 to 4.400)","2.593
(1.907 to 4.400)",,,,,,,,,,,,,,,,
Lower respiratory infections,-3 to -2 sd,Both,Both,,"1.365
(1.215 to 1.756)","1.365
(1.215 to 1.756)","1.365
(1.215 to 1.756)","1.365
(1.215 to 1.756)",,,,,,,,,,,,,,,,
Lower respiratory infections,-2 to -1 sd,Both,Both,,"1.145
(1.044 to 1.365)","1.145
(1.044 to 1.365)","1.145
(1.044 to 1.365)","1.145
(1.044 to 1.365)",,,,,,,,,,,,,,,,
Lower respiratory infections,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Measles,<-3 sd,Both,Both,,"5.668
(1.766 to 12.426)","5.668
(1.766 to 12.426)","5.668
(1.766 to 12.426)","5.668
(1.766 to 12.426)",,,,,,,,,,,,,,,,
Measles,-3 to -2 sd,Both,Both,,"2.458
(1.260 to 5.144)","2.458
(1.260 to 5.144)","2.458
(1.260 to 5.144)","2.458
(1.260 to 5.144)",,,,,,,,,,,,,,,,
Measles,-2 to -1 sd,Both,Both,,"0.995
(0.499 to 1.729)","0.995
(0.499 to 1.729)","0.995
(0.499 to 1.729)","0.995
(0.499 to 1.729)",,,,,,,,,,,,,,,,
Measles,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Childhood wasting,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,<-3 sd,Both,Both,,"105.759
(42.172 to 158.035)","105.759
(42.172 to 158.035)","105.759
(42.172 to 158.035)","105.759
(42.172 to 158.035)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-3 to -2 sd,Both,Both,,"23.261
(8.903 to 35.861)","23.261
(8.903 to 35.861)","23.261
(8.903 to 35.861)","23.261
(8.903 to 35.861)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-2 to -1 sd,Both,Both,,"6.601
(2.157 to 11.254)","6.601
(2.157 to 11.254)","6.601
(2.157 to 11.254)","6.601
(2.157 to 11.254)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Lower respiratory infections,<-3 sd,Both,Both,,"47.670
(15.810 to 95.045)","47.670
(15.810 to 95.045)","47.670
(15.810 to 95.045)","47.670
(15.810 to 95.045)",,,,,,,,,,,,,,,,
Lower respiratory infections,-3 to -2 sd,Both,Both,,"20.455
(7.048 to 37.934)","20.455
(7.048 to 37.934)","20.455
(7.048 to 37.934)","20.455
(7.048 to 37.934)",,,,,,,,,,,,,,,,
Lower respiratory infections,-2 to -1 sd,Both,Both,,"5.941
(1.971 to 12.111)","5.941
(1.971 to 12.111)","5.941
(1.971 to 12.111)","5.941
(1.971 to 12.111)",,,,,,,,,,,,,,,,
Lower respiratory infections,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Measles,<-3 sd,Both,Both,,"37.936
(5.069 to 200.729)","37.936
(5.069 to 200.729)","37.936
(5.069 to 200.729)","37.936
(5.069 to 200.729)",,,,,,,,,,,,,,,,
Measles,-3 to -2 sd,Both,Both,,"8.477
(1.330 to 42.943)","8.477
(1.330 to 42.943)","8.477
(1.330 to 42.943)","8.477
(1.330 to 42.943)",,,,,,,,,,,,,,,,
Measles,-2 to -1 sd,Both,Both,,"1.833
(0.568 to 9.018)","1.833
(0.568 to 9.018)","1.833
(0.568 to 9.018)","1.833
(0.568 to 9.018)",,,,,,,,,,,,,,,,
Measles,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Childhood stunting,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,<-3 sd,Both,Both,,"1.851
(1.280 to 2.701)","1.851
(1.280 to 2.701)","1.851
(1.280 to 2.701)","1.851
(1.280 to 2.701)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-3 to -2 sd,Both,Both,,"1.222
(1.067 to 1.501)","1.222
(1.067 to 1.501)","1.222
(1.067 to 1.501)","1.222
(1.067 to 1.501)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-2 to -1 sd,Both,Both,,"1.111
(1.022 to 1.274)","1.111
(1.022 to 1.274)","1.111
(1.022 to 1.274)","1.111
(1.022 to 1.274)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Lower respiratory infections,<-3 sd,Both,Both,,"2.355
(1.096 to 5.155)","2.355
(1.096 to 5.155)","2.355
(1.096 to 5.155)","2.355
(1.096 to 5.155)",,,,,,,,,,,,,,,,
Lower respiratory infections,-3 to -2 sd,Both,Both,,"1.318
(1.011 to 2.167)","1.318
(1.011 to 2.167)","1.318
(1.011 to 2.167)","1.318
(1.011 to 2.167)",,,,,,,,,,,,,,,,
Lower respiratory infections,-2 to -1 sd,Both,Both,,"1.158
(0.998 to 1.664)","1.158
(0.998 to 1.664)","1.158
(0.998 to 1.664)","1.158
(0.998 to 1.664)",,,,,,,,,,,,,,,,
Lower respiratory infections,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Measles,<-3 sd,Both,Both,,"2.487
(1.127 to 6.555)","2.487
(1.127 to 6.555)","2.487
(1.127 to 6.555)","2.487
(1.127 to 6.555)",,,,,,,,,,,,,,,,
Measles,-3 to -2 sd,Both,Both,,"1.540
(1.028 to 3.295)","1.540
(1.028 to 3.295)","1.540
(1.028 to 3.295)","1.540
(1.028 to 3.295)",,,,,,,,,,,,,,,,
Measles,-2 to -1 sd,Both,Both,,"1.103
(0.861 to 1.762)","1.103
(0.861 to 1.762)","1.103
(0.861 to 1.762)","1.103
(0.861 to 1.762)",,,,,,,,,,,,,,,,
Measles,-1 sd and above,Both,Both,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Iron deficiency,,,,,,,,,,,,,,,,,,,,,,,,
Maternal haemorrhage,1 g/dL,Both,Both,,,,,,,,"1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)",,,,,,,
Maternal sepsis and other pregnancy related infections,1 g/dL,Both,Both,,,,,,,,"1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)","1.252
(1.087 to 1.425)",,,,,,,
Vitamin A deficiency,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Vitamin A deficient,Both,Both,,,,"1.323
(1.109 to 1.578)","1.595
(1.213 to 2.025)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,Not deficient,Both,Both,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Measles,Vitamin A deficient,Both,Both,,,,"1.766
(1.327 to 2.327)","2.402
(1.605 to 3.485)",,,,,,,,,,,,,,,,
Measles,Not deficient,Both,Both,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Zinc deficiency,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Not deficient,Both,Both,,,,,"1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,Zinc deficient,Morbidity,Both,,,,,"1.903
(1.515 to 2.337)",,,,,,,,,,,,,,,,
Diarrhoeal diseases,Zinc deficient,Mortality,Both,,,,,"1.951
(0.903 to 3.914)",,,,,,,,,,,,,,,,
Lower respiratory infections,Not deficient,Both,Both,,,,,"1.000
(1.000 to 1.000)",,,,,,,,,,,,,,,,
Lower respiratory infections,Zinc deficient,Morbidity,Both,,,,,"1.837
(1.273 to 2.530)",,,,,,,,,,,,,,,,
Lower respiratory infections,Zinc deficient,Mortality,Both,,,,,"1.672
(0.456 to 4.155)",,,,,,,,,,,,,,,,
Smoking (prevalence approach),,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis,Smoker (5 year lag),Both,Male,,,,,,,,,,,"1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)","1.588
(1.242 to 2.039)"
Tuberculosis,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Tuberculosis,Smoker (5 year lag),Both,Female,,,,,,,,,,,"1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)","1.599
(1.258 to 2.024)"
Tuberculosis,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic heart disease,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.316
(3.127 to 5.810)","3.924
(2.905 to 5.186)","3.569
(2.699 to 4.630)","3.246
(2.508 to 4.133)","2.952
(2.330 to 3.689)","2.685
(2.165 to 3.293)","2.443
(2.011 to 2.940)","2.223
(1.869 to 2.624)","2.023
(1.736 to 2.343)","1.841
(1.613 to 2.091)","1.598
(1.445 to 1.764)"
Ischaemic heart disease,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic heart disease,Smoker (5 year lag),Both,Female,,,,,,,,,,,"6.145
(5.060 to 7.413)","5.464
(4.557 to 6.515)","4.859
(4.105 to 5.725)","4.321
(3.697 to 5.031)","3.843
(3.330 to 4.421)","3.417
(2.999 to 3.885)","3.039
(2.701 to 3.414)","2.703
(2.433 to 3.000)","2.404
(2.191 to 2.636)","2.139
(1.974 to 2.317)","1.794
(1.687 to 1.908)"
Ischaemic heart disease,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic stroke,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.175
(3.165 to 5.452)","3.805
(2.939 to 4.887)","3.468
(2.728 to 4.381)","3.161
(2.533 to 3.927)","2.882
(2.351 to 3.520)","2.627
(2.183 to 3.155)","2.395
(2.026 to 2.828)","2.184
(1.881 to 2.535)","1.992
(1.746 to 2.272)","1.816
(1.621 to 2.036)","1.582
(1.450 to 1.728)"
Ischaemic stroke,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Ischaemic stroke,Smoker (5 year lag),Both,Female,,,,,,,,,,,"6.020
(4.248 to 8.410)","5.357
(3.869 to 7.331)","4.767
(3.525 to 6.390)","4.243
(3.211 to 5.569)","3.777
(2.925 to 4.855)","3.363
(2.664 to 4.231)","2.994
(2.427 to 3.688)","2.666
(2.210 to 3.215)","2.375
(2.014 to 2.802)","2.115
(1.834 to 2.442)","1.778
(1.595 to 1.988)"
Ischaemic stroke,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Hemorrhagic stroke,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.175
(3.165 to 5.452)","3.805
(2.939 to 4.887)","3.468
(2.728 to 4.381)","3.161
(2.533 to 3.927)","2.882
(2.351 to 3.520)","2.627
(2.183 to 3.155)","2.395
(2.026 to 2.828)","2.184
(1.881 to 2.535)","1.992
(1.746 to 2.272)","1.816
(1.621 to 2.036)","1.582
(1.450 to 1.728)"
Hemorrhagic stroke,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Hemorrhagic stroke,Smoker (5 year lag),Both,Female,,,,,,,,,,,"6.020
(4.248 to 8.410)","5.357
(3.869 to 7.331)","4.767
(3.525 to 6.390)","4.243
(3.211 to 5.569)","3.777
(2.925 to 4.855)","3.363
(2.664 to 4.231)","2.994
(2.427 to 3.688)","2.666
(2.210 to 3.215)","2.375
(2.014 to 2.802)","2.115
(1.834 to 2.442)","1.778
(1.595 to 1.988)"
Hemorrhagic stroke,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Hypertensive heart disease,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.153
(2.995 to 5.659)","3.785
(2.790 to 5.061)","3.451
(2.600 to 4.525)","3.146
(2.422 to 4.046)","2.868
(2.257 to 3.618)","2.616
(2.102 to 3.236)","2.386
(1.959 to 2.893)","2.176
(1.825 to 2.587)","1.985
(1.700 to 2.313)","1.811
(1.584 to 2.069)","1.578
(1.425 to 1.749)"
Hypertensive heart disease,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Hypertensive heart disease,Smoker (5 year lag),Both,Female,,,,,,,,,,,"4.110
(2.053 to 7.209)","3.740
(1.960 to 6.346)","3.405
(1.871 to 5.587)","3.102
(1.786 to 4.919)","2.826
(1.705 to 4.330)","2.576
(1.628 to 3.812)","2.350
(1.554 to 3.356)","2.144
(1.484 to 2.954)","1.957
(1.416 to 2.601)","1.787
(1.352 to 2.290)","1.560
(1.261 to 1.891)"
Hypertensive heart disease,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Atrial fibrillation and flutter,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.153
(2.995 to 5.659)","3.785
(2.790 to 5.061)","3.451
(2.600 to 4.525)","3.146
(2.422 to 4.046)","2.868
(2.257 to 3.618)","2.616
(2.102 to 3.236)","2.386
(1.959 to 2.893)","2.176
(1.825 to 2.587)","1.985
(1.700 to 2.313)","1.811
(1.584 to 2.069)","1.578
(1.425 to 1.749)"
Atrial fibrillation and flutter,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Atrial fibrillation and flutter,Smoker (5 year lag),Both,Female,,,,,,,,,,,"4.110
(2.053 to 7.209)","3.740
(1.960 to 6.346)","3.405
(1.871 to 5.587)","3.102
(1.786 to 4.919)","2.826
(1.705 to 4.330)","2.576
(1.628 to 3.812)","2.350
(1.554 to 3.356)","2.144
(1.484 to 2.954)","1.957
(1.416 to 2.601)","1.787
(1.352 to 2.290)","1.560
(1.261 to 1.891)"
Atrial fibrillation and flutter,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Aortic aneurysm,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.153
(2.995 to 5.659)","3.785
(2.790 to 5.061)","3.451
(2.600 to 4.525)","3.146
(2.422 to 4.046)","2.868
(2.257 to 3.618)","2.616
(2.102 to 3.236)","2.386
(1.959 to 2.893)","2.176
(1.825 to 2.587)","1.985
(1.700 to 2.313)","1.811
(1.584 to 2.069)","1.578
(1.425 to 1.749)"
Aortic aneurysm,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Aortic aneurysm,Smoker (5 year lag),Both,Female,,,,,,,,,,,"4.110
(2.053 to 7.209)","3.740
(1.960 to 6.346)","3.405
(1.871 to 5.587)","3.102
(1.786 to 4.919)","2.826
(1.705 to 4.330)","2.576
(1.628 to 3.812)","2.350
(1.554 to 3.356)","2.144
(1.484 to 2.954)","1.957
(1.416 to 2.601)","1.787
(1.352 to 2.290)","1.560
(1.261 to 1.891)"
Aortic aneurysm,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Peripheral vascular disease,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.153
(2.995 to 5.659)","3.785
(2.790 to 5.061)","3.451
(2.600 to 4.525)","3.146
(2.422 to 4.046)","2.868
(2.257 to 3.618)","2.616
(2.102 to 3.236)","2.386
(1.959 to 2.893)","2.176
(1.825 to 2.587)","1.985
(1.700 to 2.313)","1.811
(1.584 to 2.069)","1.578
(1.425 to 1.749)"
Peripheral vascular disease,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Peripheral vascular disease,Smoker (5 year lag),Both,Female,,,,,,,,,,,"4.110
(2.053 to 7.209)","3.740
(1.960 to 6.346)","3.405
(1.871 to 5.587)","3.102
(1.786 to 4.919)","2.826
(1.705 to 4.330)","2.576
(1.628 to 3.812)","2.350
(1.554 to 3.356)","2.144
(1.484 to 2.954)","1.957
(1.416 to 2.601)","1.787
(1.352 to 2.290)","1.560
(1.261 to 1.891)"
Peripheral vascular disease,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Other cardiovascular and circulatory diseases,Smoker (5 year lag),Both,Male,,,,,,,,,,,"4.153
(2.995 to 5.659)","3.785
(2.790 to 5.061)","3.451
(2.600 to 4.525)","3.146
(2.422 to 4.046)","2.868
(2.257 to 3.618)","2.616
(2.102 to 3.236)","2.386
(1.959 to 2.893)","2.176
(1.825 to 2.587)","1.985
(1.700 to 2.313)","1.811
(1.584 to 2.069)","1.578
(1.425 to 1.749)"
Other cardiovascular and circulatory diseases,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Other cardiovascular and circulatory diseases,Smoker (5 year lag),Both,Female,,,,,,,,,,,"4.110
(2.053 to 7.209)","3.740
(1.960 to 6.346)","3.405
(1.871 to 5.587)","3.102
(1.786 to 4.919)","2.826
(1.705 to 4.330)","2.576
(1.628 to 3.812)","2.350
(1.554 to 3.356)","2.144
(1.484 to 2.954)","1.957
(1.416 to 2.601)","1.787
(1.352 to 2.290)","1.560
(1.261 to 1.891)"
Other cardiovascular and circulatory diseases,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Asthma,Smoker (5 year lag),Both,Male,,,,,,,,,,,"2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)","2.098
(1.761 to 2.460)"
Asthma,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Asthma,Smoker (5 year lag),Both,Female,,,,,,,,,,,"1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)","1.976
(1.788 to 2.181)"
Asthma,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
